"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2022","26.39","27.28","28.03","25.83","9.41M","-4.11%"
"04/06/2022","27.52","27.59","27.85","26.74","6.44M","-1.01%"
"04/05/2022","27.80","28.37","28.64","27.56","6.63M","-3.00%"
"04/04/2022","28.66","28.68","29.69","28.24","11.11M","5.21%"
"04/01/2022","27.24","27.35","28.22","26.59","11.83M","5.54%"
"03/31/2022","25.81","27.00","27.25","25.57","9.56M","-4.87%"
"03/30/2022","27.13","27.10","28.23","26.88","9.25M","1.99%"
"03/29/2022","26.60","27.30","27.60","26.30","8.71M","0.45%"
"03/28/2022","26.48","26.77","27.31","25.75","8.22M","0.30%"
"03/25/2022","26.40","26.45","27.13","25.91","6.91M","-5.24%"
"03/24/2022","27.86","27.34","27.90","26.21","9.89M","2.13%"
"03/23/2022","27.28","26.49","28.30","26.40","7.30M","-0.18%"
"03/22/2022","27.33","27.40","27.77","26.53","11.15M","3.80%"
"03/21/2022","26.33","27.19","27.92","25.67","11.80M","-6.60%"
"03/18/2022","28.19","25.80","28.90","25.52","18.30M","12.31%"
"03/17/2022","25.10","25.02","25.26","23.75","14.72M","-3.65%"
"03/16/2022","26.05","23.80","26.50","23.61","38.07M","31.90%"
"03/15/2022","19.75","17.91","20.08","16.86","30.76M","12.22%"
"03/14/2022","17.60","20.05","20.36","17.45","41.53M","-20.61%"
"03/11/2022","22.17","26.82","26.83","21.92","19.70M","-14.70%"
"03/10/2022","25.99","26.07","26.55","25.23","10.70M","-5.94%"
"03/09/2022","27.63","25.81","27.91","25.42","13.42M","13.99%"
"03/08/2022","24.24","25.19","25.19","24.04","12.10M","-5.68%"
"03/07/2022","25.70","27.22","27.92","25.69","8.42M","-5.62%"
"03/04/2022","27.23","27.44","28.01","26.65","7.72M","-2.40%"
"03/03/2022","27.90","30.63","30.64","27.56","9.78M","-7.28%"
"03/02/2022","30.09","30.88","31.95","29.54","9.56M","-1.08%"
"03/01/2022","30.42","30.33","31.45","29.80","9.11M","-0.10%"
"02/28/2022","30.45","27.86","31.00","27.83","13.65M","9.18%"
"02/25/2022","27.89","27.72","28.12","25.75","10.04M","1.94%"
"02/24/2022","27.36","25.37","27.42","25.04","12.10M","-0.87%"
"02/23/2022","27.60","28.80","29.24","27.46","8.01M","-0.33%"
"02/22/2022","27.69","27.88","28.68","27.26","9.63M","-3.01%"
"02/18/2022","28.55","29.63","29.83","28.38","5.91M","-3.64%"
"02/17/2022","29.63","29.68","30.30","29.42","4.28M","-0.54%"
"02/16/2022","29.79","29.93","30.20","29.44","4.09M","-1.29%"
"02/15/2022","30.18","29.49","30.23","29.22","7.91M","5.97%"
"02/14/2022","28.48","27.69","28.80","27.51","5.61M","1.21%"
"02/11/2022","28.14","29.42","29.72","27.69","7.18M","-4.19%"
"02/10/2022","29.37","28.93","29.99","28.61","8.01M","-2.52%"
"02/09/2022","30.13","30.02","30.50","29.74","11.36M","3.90%"
"02/08/2022","29.00","28.36","29.05","28.02","4.99M","1.29%"
"02/07/2022","28.63","27.66","29.03","27.59","7.26M","-0.24%"
"02/04/2022","28.70","27.08","28.96","27.08","8.11M","6.97%"
"02/03/2022","26.83","26.80","27.90","26.55","5.98M","-2.44%"
"02/02/2022","27.50","27.08","27.64","26.57","5.53M","0.77%"
"02/01/2022","27.29","26.85","27.31","25.94","7.47M","4.60%"
"01/31/2022","26.09","24.64","26.11","24.58","6.94M","8.84%"
